Course,Section,Primary Teacher,Academic Year,Term,Month,Week Number,Topic Planned,Topic Completed,Pacing Gap Status,Remedial Plan Required,Auditor Validation,Last Modified By
Grade 8 Science,Section A,Dr. Sarah Henderson,AY 2026-2027,Term 1,June,Week 1,Lab Safety Protocols & Apparatus,Lab Safety Protocols & Apparatus,Completed - On Track,No,Dr. Henderson,Dr. Sarah Henderson
Grade 8 Science,Section A,Dr. Sarah Henderson,AY 2026-2027,Term 1,June,Week 2,Ch1: Kinetic Energy Formula,Ch1: Kinetic Energy Formula,Completed - On Track,No,Dr. Henderson,Dr. Sarah Henderson
Grade 8 Science,Section A,Dr. Sarah Henderson,AY 2026-2027,Term 1,June,Week 3,Ch1: Thermal energy Transfer,Ch1: Heat & Convection Only,Delayed - Pacing Gap,Yes - Extended Lab scheduled on Friday,Dr. Henderson,Dr. Sarah Henderson
Grade 8 Science,Section A,Dr. Sarah Henderson,AY 2026-2027,Term 1,June,Week 4,Ch2: Introduction to Light Waves,Not Started,Delayed - Pacing Gap,Yes - Combined waves session,Pending,Dr. Sarah Henderson
Algebra I Trigonometry,Section B-1,Marcus Vance,AY 2026-2027,Term 1,June,Week 1,Intro to Trig Functions,Intro to Trig Functions,Completed - On Track,No,Marcus Vance,Marcus Vance
Algebra I Trigonometry,Section B-1,Marcus Vance,AY 2026-2027,Term 1,June,Week 2,Pythagorean Identities,Pythagorean Identities,Completed - On Track,No,Marcus Vance,Marcus Vance
Algebra I Trigonometry,Section B-1,Marcus Vance,AY 2026-2027,Term 1,June,Week 3,Sine and Cosine Law,Sine and Cosine Law,Completed - On Track,No,Marcus Vance,Marcus Vance
Algebra I Trigonometry,Section B-1,Marcus Vance,AY 2026-2027,Term 1,June,Week 4,Trig Graphs & Waves,Not Started,Delayed - Pacing Gap,No - Scheduled for early July rollover,Pending,Marcus Vance
AP English Literature,Honors Class,Elaine Montgomery,AY 2026-2027,Term 1,June,Week 1,Socratic Seminar: Intro to Hamlet,Socratic Seminar: Intro to Hamlet,Completed - On Track,No,E. Montgomery,Elaine Montgomery
AP English Literature,Honors Class,Elaine Montgomery,AY 2026-2027,Term 1,June,Week 2,Hamlet Acts I & II Close Reading,Hamlet Acts I & II Close Reading,Completed - On Track,No,E. Montgomery,Elaine Montgomery
AP English Literature,Honors Class,Elaine Montgomery,AY 2026-2027,Term 1,June,Week 3,Character Soliloquy Essay Draft,Character Soliloquy Essay Draft,Completed - On Track,No,E. Montgomery,Elaine Montgomery
AP English Literature,Honors Class,Elaine Montgomery,AY 2026-2027,Term 1,June,Week 4,Hamlet Act III Prose Analysis,Hamlet Act III Prose Analysis,Completed - On Track,No,E. Montgomery,Elaine Montgomery
Grade 10 English,Section X-A,Miss Melissa Green,AY 2026-2027,Term 1,June,Week 1,Grammar: Tense Sequencing,Grammar: Tense Sequencing,Completed - On Track,No,Melissa Green,Melissa Green
Grade 10 English,Section X-A,Miss Melissa Green,AY 2026-2027,Term 1,June,Week 2,Poetry: Fire and Ice,Poetry: Fire and Ice,Completed - On Track,No,Melissa Green,Melissa Green
Grade 10 English,Section X-A,Miss Melissa Green,AY 2026-2027,Term 1,June,Week 3,Prose: A Letter to God,Prose: A Letter to God,Completed - On Track,No,Melissa Green,Melissa Green
Grade 10 English,Section X-A,Miss Melissa Green,AY 2026-2027,Term 1,June,Week 4,Formal Letter Writing,Formal Letter Writing,Completed - On Track,No,Melissa Green,Melissa Green
